LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
LICFDD-2018-00618,Active,Hot N Spicy Asian,2024/06/30 05:00:00+00,Active,"4602 Monona DR
Madison, WI 53716",4602,,Monona,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1691
LICFDD-2018-00620,Active,El Charro Mexican Grill,2024/06/30 05:00:00+00,Active,"1336 MONTONDON AVE
WAUNAKEE, WI 53597",1336,,MONTONDON,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,WAUNAKEE,1692
LICFDD-2018-00630,Active,Belleville Elementary,2024/06/30 05:00:00+00,Active,"101 S GRANT ST
BELLEVILLE, WI 53508",101,S,GRANT,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,BELLEVILLE,1693
LICFDD-2018-00632,Active,Melly Mell's Catering,2024/06/30 05:00:00+00,Active,"1219 N Sherman AVE
Madison, WI 53704",1219,N,Sherman,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1694
LICFDD-2018-00643,Active,The Bread Basket Bistro-west,2024/06/30 05:00:00+00,Active,"752 N High Point RD
Madison, WI 53717",752,N,High Point,RD,,,,,,,,,2024/02/24 11:00:07+00,Establisment Type not defined,Madison,1695
LICFDD-2018-00644,Active,Sushi Kabar,2024/06/30 05:00:00+00,Active,"111 N Broom ST
Madison, WI 53703",111,N,Broom,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1696
LICFDD-2018-00649,Active,Crescendo Espresso Bar,2024/06/30 05:00:00+00,Active,"719 Hilldale WAY
Madison, WI 53713",719,,Hilldale,WAY,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1697
LICFDD-2018-00653,Active,Arby's #7686,2024/06/30 05:00:00+00,Active,"1603 LANDMARK DR
VILLAGE OF COTTAGE GROVE, WI 53527",1603,,LANDMARK,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,VILLAGE OF COTTAGE GROVE,1698
LICFDD-2018-00654,Active,Arby's #8672,2024/06/30 05:00:00+00,Active,"2763 COUNTY HIGHWAY N
TOWN OF PLEASANT SPRINGS, WI 53527",2763,,COUNTY HIGHWAY N,,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,TOWN OF PLEASANT SPRINGS,1699
LICFDD-2018-00655,Active,Arby's #8415,2024/06/30 05:00:00+00,Active,"834 NYGAARD ST
STOUGHTON, WI 53589",834,,NYGAARD,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,STOUGHTON,1700
LICFDD-2018-00657,Active,Arby's #6738,2024/06/30 05:00:00+00,Active,"4 Collins CT
Madison, WI 53716",4,,Collins,CT,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1701
LICFDD-2018-00658,Active,Arby's #6889,2024/06/30 05:00:00+00,Active,"4884 COUNTY HIGHWAY V
TOWN OF VIENNA, WI 53532",4884,,COUNTY HIGHWAY V,,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,TOWN OF VIENNA,1702
LICFDD-2018-00659,Active,Arby's #8538,2024/06/30 05:00:00+00,Active,"631 HOMETOWN CIR
VERONA, WI 53593",631,,HOMETOWN,CIR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,VERONA,1703
LICFDD-2018-00660,Active,Arby's #7757,2024/06/30 05:00:00+00,Active,"8321 MURPHY DR
CITY OF MIDDLETON, WI 53562",8321,,MURPHY,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,CITY OF MIDDLETON,1704
LICFDD-2018-00661,Active,Brothers Three Bar And Grill,2024/06/30 05:00:00+00,Active,"614 N Fair Oaks AVE
Madison, WI 53714",614,N,Fair Oaks,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1705
