LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
10143-2421,Active,Laurel Tavern,2024/06/30 05:00:00+00,Active,"2505 MONROE ST
MADISON, WI 53711",2505,,MONROE,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,1
10156-2429,Active,Wingra Canoe & Sailing Center,2024/06/30 05:00:00+00,Active,"824 KNICKERBOCKER ST
MADISON, WI 53711",824,,KNICKERBOCKER,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,2
10330-2461,Active,Pedro's,2024/06/30 05:00:00+00,Active,"3555 E WASHINGTON AVE
MADISON, WI 53704",3555,E,WASHINGTON,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,3
10432-2521,Active,Park Towers Apartment,2024/06/30 05:00:00+00,Active,"4801 SHEBOYGAN AVE
MADISON, WI 53705",4801,,SHEBOYGAN,AVE,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,4
1046-695,Active,Esquire Club,2024/06/30 05:00:00+00,Active,"1025 N SHERMAN AVE
MADISON, WI 53704",1025,N,SHERMAN,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,5
105-197,Active,Meriter Hospital,2024/06/30 05:00:00+00,Active,"202 S PARK ST
MADISON, WI 53715",202,S,PARK,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,6
1116-737,Active,Kollege Klub,2024/06/30 05:00:00+00,Active,"529 N LAKE ST
MADISON, WI 53703",529,N,LAKE,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,7
12099-2736,Active,Wexford Crossing,2024/06/30 05:00:00+00,Active,"7418 OLD SAUK RD
MADISON, WI 53717",7418,,OLD SAUK,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,8
12122-15456,Active,West Side Swim Club,2024/06/30 05:00:00+00,Active,"5533 ODANA RD
MADISON, WI 53711",5533,,ODANA,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,9
12122-19118,Active,West Side Swim Club,2024/06/30 05:00:00+00,Active,"5533 ODANA RD
MADISON, WI 53711",5533,,ODANA,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,10
12122-2737,Active,West Side Swim Club,2024/06/30 05:00:00+00,Active,"5533 ODANA RD
MADISON, WI 53711",5533,,ODANA,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,11
1255-783,Active,The Madison Club,2024/06/30 05:00:00+00,Active,"5 E WILSON ST
MADISON, WI 53703",5,E,WILSON,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,12
1266-789,Active,Meriter Hospital,2024/06/30 05:00:00+00,Active,"202 S PARK ST
MADISON, WI 53715",202,S,PARK,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,13
1268-793,Active,Madison Labor Temple,2024/06/30 05:00:00+00,Active,"1602 S PARK ST
MADISON, WI 53715",1602,S,PARK,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,14
12775-2814,Active,Licari's Bar & Grill,2024/06/30 05:00:00+00,Active,"1405 EMIL ST
MADISON, WI 53713",1405,,EMIL,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,15
13945-3131,Active,Gino's Italian Deli,2024/06/30 05:00:00+00,Active,"4606 VERONA RD
MADISON, WI 53711",4606,,VERONA,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,16
14242-3161,Active,Oakwood Village Apartments,2024/06/30 05:00:00+00,Active,"6209 MINERAL POINT RD
MADISON, WI 53705",6209,,MINERAL POINT,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,17
1463-961,Active,Delaney's Charcoal Steaks,2024/06/30 05:00:00+00,Active,"449 GRAND CANYON DR
MADISON, WI 53719",449,,GRAND CANYON,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,18
1473-966,Active,Nakoma Golf Club,2024/06/30 05:00:00+00,Active,"4145 COUNTRY CLUB RD
MADISON, WI 53711",4145,,COUNTRY CLUB,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,19
14779-3296,Active,Essen Haus,2024/06/30 05:00:00+00,Active,"514 E WILSON ST
MADISON, WI 53703",514,E,WILSON,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,20
1496-974,Active,Paradise Lounge,2024/06/30 05:00:00+00,Active,"119 W MAIN ST
MADISON, WI 53703",119,W,MAIN,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,21
1497-981,Active,Nick's Restaurant,2024/06/30 05:00:00+00,Active,"226 STATE ST
MADISON, WI 53703",226,,STATE,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,22
1580-1041,Active,Inn On The Park,2024/06/30 05:00:00+00,Active,"22 S CARROLL ST
MADISON, WI 53703",22,S,CARROLL,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,23
1580-1048,Active,Inn On The Park,2024/06/30 05:00:00+00,Active,"22 S CARROLL ST
MADISON, WI 53703",22,S,CARROLL,ST,,,,,,,,,2024/02/24 11:00:07+00,Hotel/Motel,MADISON,24
1660-1106,Active,Porta Bella,2024/06/30 05:00:00+00,Active,"425 N FRANCES ST
MADISON, WI 53703",425,N,FRANCES,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,25
17619-3935,Active,Parthenon Gyros Restaurant,2024/06/30 05:00:00+00,Active,"316 STATE ST
MADISON, WI 53703",316,,STATE,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,26
17729-3953,Active,Greenbriar Apartments,2024/06/30 05:00:00+00,Active,"222 RANDOLPH DR
MADISON, WI 53717",222,,RANDOLPH,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,27
17729-42520,Active,Greenbriar Apartments,2024/06/30 05:00:00+00,Active,"222 RANDOLPH DR
MADISON, WI 53717",222,,RANDOLPH,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,28
1811-1189,Active,Echo Tap & Grill,2024/06/30 05:00:00+00,Active,"554 W MAIN ST
MADISON, WI 53703",554,W,MAIN,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,29
18338-2329,Active,Cherokee Town House Condominium,2024/06/30 05:00:00+00,Active,"40 GOLF COURSE RD
MADISON, WI 53704",40,,GOLF COURSE,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,30
18644-4219,Active,Village Green East,2024/06/30 05:00:00+00,Active,"820 VILLAGE GREEN LANE EAST
MADISON, WI 53704",820,,VILLAGE GREEN LANE EAST,,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,31
18648-13186,Active,Parkcrest Swim & Tennis Club,2024/06/30 05:00:00+00,Active,"1 N YELLOWSTONE DR
MADISON, WI 53705",1,N,YELLOWSTONE,DR,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,32
18648-17386,Active,Parkcrest Swim & Tennis Club,2024/06/30 05:00:00+00,Active,"1 N YELLOWSTONE DR
MADISON, WI 53705",1,N,YELLOWSTONE,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,33
18648-2331,Active,Parkcrest Swim & Tennis Club,2024/06/30 05:00:00+00,Active,"1 N YELLOWSTONE DR
MADISON, WI 53705",1,N,YELLOWSTONE,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,34
1877-1213,Active,Schwoegler Park Towne Lanes,2024/06/30 05:00:00+00,Active,"444 GRAND CANYON DR
MADISON, WI 53719",444,,GRAND CANYON,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,35
19524-4475,Active,Woodland Unit Owners Association,2024/06/30 05:00:00+00,Active,"34 OAK GROVE DR
MADISON, WI 53717",34,,OAK GROVE,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,36
19803-4575,Active,Oriental Shop,2024/06/30 05:00:00+00,Active,"1029 S PARK ST
MADISON, WI 53715",1029,S,PARK,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,37
2050-1324,Active,Silver Dollar,2024/06/30 05:00:00+00,Active,"117 W MIFFLIN ST
MADISON, WI 53703",117,W,MIFFLIN,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,38
2082-1414,Active,Toby's Supper Club,2024/06/30 05:00:00+00,Active,"3717 S DUTCH MILL RD
MADISON, WI 53718",3717,S,DUTCH MILL,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,39
20909-5093,Active,Point Cinemas,2024/06/30 05:00:00+00,Active,"7825 BIG SKY DR
MADISON, WI 53719",7825,,BIG SKY,DR,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,40
20978-5128,Active,Sauk Creek Condominium,2024/06/30 05:00:00+00,Active,"7542 WIDGEON WAY
MADISON, WI 53717",7542,,WIDGEON,WAY,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,41
22063-5658,Active,Yahara Landing Apartments,2024/06/30 05:00:00+00,Active,"1624 FORDEM AVE
MADISON, WI 53704",1624,,FORDEM,AVE,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,42
23318-6502,Active,First United Methodist Church,2024/06/30 05:00:00+00,Active,"203 WISCONSIN AVE
MADISON, WI 53703",203,,WISCONSIN,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,43
2348-1525,Active,Ymca-- East Branch,2024/06/30 05:00:00+00,Active,"711 COTTAGE GROVE RD
MADISON, WI 53716",711,,COTTAGE GROVE,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,44
2348-1526,Active,Ymca-- East Branch,2024/06/30 05:00:00+00,Active,"711 COTTAGE GROVE RD
MADISON, WI 53716",711,,COTTAGE GROVE,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,45
2348-71846,Active,Ymca-- East Branch,2024/06/30 05:00:00+00,Active,"711 COTTAGE GROVE RD
MADISON, WI 53716",711,,COTTAGE GROVE,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,46
23659-6924,Active,Barrymore Theatre,2024/06/30 05:00:00+00,Active,"2090 ATWOOD AVE
MADISON, WI 53704",2090,,ATWOOD,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,47
24659-8049,Active,Madison Senior Center,2024/06/30 05:00:00+00,Active,"330 W MIFFLIN ST
MADISON, WI 53703",330,W,MIFFLIN,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,48
25246-33722,Active,Smoky Jon's,2024/06/30 05:00:00+00,Active,"2310 PACKERS AVE
MADISON, WI 53704",2310,,PACKERS,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,49
25599-31901,Active,Olbrich Botanical Gardens,2024/06/30 05:00:00+00,Active,"3330 ATWOOD AVE
MADISON, WI 53704",3330,,ATWOOD,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,50
27576-12462,Active,Michael's Frozen Custard,2024/06/30 05:00:00+00,Active,"3826 ATWOOD AVE
MADISON, WI 53714",3826,,ATWOOD,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,51
27650-12569,Active,Subway,2024/06/30 05:00:00+00,Active,"3702 E WASHINGTON AVE
MADISON, WI 53704",3702,E,WASHINGTON,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,52
27867-12899,Active,Baymont Inn & Suites,2024/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2024/02/24 11:00:07+00,Hotel/Motel,MADISON,53
27867-12900,Active,Baymont Inn & Suites,2024/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,54
27867-12901,Active,Baymont Inn & Suites,2024/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,55
27867-12903,Active,Baymont Inn & Suites,2024/06/30 05:00:00+00,Active,"8102 EXCELSIOR DR
MADISON, WI 53717",8102,,EXCELSIOR,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,56
28513-13744,Active,State Street Brats,2024/06/30 05:00:00+00,Active,"603 STATE ST
MADISON, WI 53703",603,,STATE,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,57
28707-14046,Active,Eurest @ Covance,2024/06/30 05:00:00+00,Active,"3301 KINSMAN BLVD
MADISON, WI 53704",3301,,KINSMAN,BLVD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,58
29401-63968,Active,Dutch Mill Sports Club,2024/06/30 05:00:00+00,Active,"4818 DUTCH MILL RD
MADISON, WI 53716",4818,,DUTCH MILL,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,59
30585-15092,Active,Oakbridge Swimming Pool,2024/06/30 05:00:00+00,Active,"7917 TREE LN
MADISON, WI 53717",7917,,TREE,LN,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,60
32032-15320,Active,Players Sports Bar,2024/06/30 05:00:00+00,Active,"2013 WINNEBAGO ST
MADISON, WI 53704",2013,,WINNEBAGO,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,61
3228-1609,Active,Rocky Rococo Pan-style Pizza,2024/06/30 05:00:00+00,Active,"1618 W BELTLINE HWY
MADISON, WI 53713",1618,W,BELTLINE,HWY,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,62
3229-1612,Active,Rocky Rococo Pan-style Pizza,2024/06/30 05:00:00+00,Active,"4556 MONONA DR
MADISON, WI 53716",4556,,MONONA,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,63
3232-1617,Active,Bennett's Meadowood Country Club,2024/06/30 05:00:00+00,Active,"2009 FREEPORT RD
MADISON, WI 53711",2009,,FREEPORT,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,64
32513-16323,Active,Horseshoe Bar,2024/06/30 05:00:00+00,Active,"3900 DEMPSEY RD
MADISON, WI 53716",3900,,DEMPSEY,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,65
32521-15721,Active,Morningside On The Green,2024/06/30 05:00:00+00,Active,"4665 HAYES RD
MADISON, WI 53704",4665,,HAYES,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,66
32760-16056,Active,Monty's Blue Plate Diner,2024/06/30 05:00:00+00,Active,"2089 ATWOOD AVE
MADISON, WI 53704",2089,,ATWOOD,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,67
32984-85194,Active,Curt's Popcorn,2024/06/30 05:00:00+00,Active,"1521 GILSON ST
MADISON, WI 53715",1521,,GILSON,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Mobile Cart,MADISON,68
33012-16396,Active,Cherokee Garden Condominiums,2024/06/30 05:00:00+00,Active,"1620 N GOLF GLEN
MADISON, WI 53704",1620,N,GOLF GLEN,,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,69
33444-16999,Active,Parkway Family Restaurant,2024/06/30 05:00:00+00,Active,"1221 ANN ST
MADISON, WI 53713",1221,,ANN,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,70
34679-19032,Active,Hong Kong Cafe,2024/06/30 05:00:00+00,Active,"2 S MILLS ST
MADISON, WI 53715",2,S,MILLS,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,71
34761-18941,Active,Mickie's Dairy Bar,2024/06/30 05:00:00+00,Active,"1511 MONROE ST
MADISON, WI 53711",1511,,MONROE,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,72
36155-87968,Active,Stella's,2024/06/30 05:00:00+00,Active,"2908 SYENE RD
MADISON, WI 53713",2908,,SYENE,RD,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,73
37829-23402,Active,Rocky Rococo Pan-style Pizza,2024/06/30 05:00:00+00,Active,"7952 TREE LN
MADISON, WI 53717",7952,,TREE,LN,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,74
37880-22699,Active,Madison Masonic Center Foundation,2024/06/30 05:00:00+00,Active,"301 WISCONSIN AVE
MADISON, WI 53703",301,,WISCONSIN,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,75
37884-22705,Active,Hotel Ruby Marie,2024/06/30 05:00:00+00,Active,"522 E WILSON ST
MADISON, WI 53703",522,E,WILSON,ST,,,,,,,,,2024/02/24 11:00:07+00,Hotel/Motel,MADISON,76
381-391,Active,Chocolate Shoppe Ice Cream,2024/06/30 05:00:00+00,Active,"1726 FORDEM AVE
MADISON, WI 53704",1726,,FORDEM,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,77
38242-23161,Active,Concourse Hotel And Governors Club,2024/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,78
38242-23162,Active,Concourse Hotel And Governors Club,2024/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2024/02/24 11:00:07+00,Hotel/Motel,MADISON,79
38242-35745,Active,Concourse Hotel And Governors Club,2024/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,80
38242-35746,Active,Concourse Hotel And Governors Club,2024/06/30 05:00:00+00,Active,"1 W DAYTON ST
MADISON, WI 53703",1,W,DAYTON,ST,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,81
39046-24237,Active,Supreme Health & Fitness Club,2024/06/30 05:00:00+00,Active,"5555 ODANA RD 204
MADISON, WI 53719",5555,,ODANA,RD,204,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,82
39101-24320,Active,Park Street Mini Mart,2024/06/30 05:00:00+00,Active,"950 S PARK ST
MADISON, WI 53715",950,S,PARK,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,83
39744-25294,Active,Walgreens #2848,2024/06/30 05:00:00+00,Active,"606 S WHITNEY WAY
MADISON, WI 53711",606,S,WHITNEY,WAY,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,84
39865-29164,Active,Woodmans Food Market #16,2024/06/30 05:00:00+00,Active,"3705 MILWAUKEE ST
MADISON, WI 53714",3705,,MILWAUKEE,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,85
39996-25657,Active,Chocolate Shoppe Ice Cream,2024/06/30 05:00:00+00,Active,"466 STATE ST
MADISON, WI 53703",466,,STATE,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,86
40159-26087,Active,Tex Tubb's Taco Palace,2024/06/30 05:00:00+00,Active,"2009 ATWOOD AVE
MADISON, WI 53704",2009,,ATWOOD,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,87
40318-1010,Active,Club Lamark,2024/06/30 05:00:00+00,Active,"1525 N STOUGHTON RD
MADISON, WI 53704",1525,N,STOUGHTON,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,88
40506-26319,Active,Stonefield Terrace,2024/06/30 05:00:00+00,Active,"845 PEBBLE BEACH DR
MADISON, WI 53717",845,,PEBBLE BEACH,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,89
40941-26928,Active,Forest Run Apartments,2024/06/30 05:00:00+00,Active,"3269 FOREST RUN CT
MADISON, WI 53704",3269,,FOREST RUN,CT,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,90
41100-27102,Active,High Point Swim Club,2024/06/30 05:00:00+00,Active,"901 N HIGH POINT RD
MADISON, WI 53717",901,N,HIGH POINT,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,91
41100-27103,Active,High Point Swim Club,2024/06/30 05:00:00+00,Active,"901 N HIGH POINT RD
MADISON, WI 53717",901,N,HIGH POINT,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,92
41100-39784,Active,High Point Swim Club,2024/06/30 05:00:00+00,Active,"901 N HIGH POINT RD
MADISON, WI 53717",901,N,HIGH POINT,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,93
41298-27314,Active,Greenbush Bar,2024/06/30 05:00:00+00,Active,"914 REGENT ST
MADISON, WI 53715",914,,REGENT,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,94
42367-28835,Active,Madison Residence Inn,2024/06/30 05:00:00+00,Active,"4862 HAYES RD
MADISON, WI 53704",4862,,HAYES,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,95
42367-28836,Active,Madison Residence Inn,2024/06/30 05:00:00+00,Active,"4862 HAYES RD
MADISON, WI 53704",4862,,HAYES,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,96
42367-28838,Active,Madison Residence Inn,2024/06/30 05:00:00+00,Active,"4862 HAYES RD
MADISON, WI 53704",4862,,HAYES,RD,,,,,,,,,2024/02/24 11:00:07+00,Hotel/Motel,MADISON,97
42567-45416,Active,China Cottage,2024/06/30 05:00:00+00,Active,"5957 MCKEE RD, SUITE 3
FITCHBURG, WI 53719",5957,,MCKEE,RD,3,,,,,,,,2024/02/24 11:00:07+00,Restaurant Mobile Cart,FITCHBURG,98
42751-29542,Active,Wando's,2024/06/30 05:00:00+00,Active,"602 UNIVERSITY AVE
MADISON, WI 53715",602,,UNIVERSITY,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,99
42969-29712,Active,Clary's Gourmet Popcorn,2024/06/30 05:00:00+00,Active,"105 STATE ST
MADISON, WI 53703",105,,STATE,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,100
43227-31712,Active,Bowl-a-vard Lanes,2024/06/30 05:00:00+00,Active,"2121 EAST SPRINGS DR
MADISON, WI 53704",2121,,EAST SPRINGS,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,101
43466-30419,Active,Prentice Park Apartments,2024/06/30 05:00:00+00,Active,"803 N THOMPSON DR
MADISON, WI 53704",803,N,THOMPSON,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,102
43466-30420,Active,Prentice Park Apartments,2024/06/30 05:00:00+00,Active,"803 N THOMPSON DR
MADISON, WI 53704",803,N,THOMPSON,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,103
43783-30840,Active,Yorktown Estates,2024/06/30 05:00:00+00,Active,"251 S YELLOWSTONE DR
MADISON, WI 53705",251,S,YELLOWSTONE,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,104
43783-30841,Active,Yorktown Estates,2024/06/30 05:00:00+00,Active,"251 S YELLOWSTONE DR
MADISON, WI 53705",251,S,YELLOWSTONE,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,105
43958-31060,Active,Dairyland Family Restaurant,2024/06/30 05:00:00+00,Active,"716 COTTAGE GROVE RD
MADISON, WI 53716",716,,COTTAGE GROVE,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,106
44679-29718,Active,Great Dane Pub And Brewing,2024/06/30 05:00:00+00,Active,"123 E DOTY ST
MADISON, WI 53703",123,E,DOTY,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,107
44833-32307,Active,Walgreens #3343,2024/06/30 05:00:00+00,Active,"7810 MINERAL POINT RD
MADISON, WI 53717",7810,,MINERAL POINT,RD,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,108
44836-32418,Active,Blue Moon,2024/06/30 05:00:00+00,Active,"2535 UNIVERSITY AVE
MADISON, WI 53705",2535,,UNIVERSITY,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,109
45380-33031,Active,Cracker Barrel Old Country Store #214,2024/06/30 05:00:00+00,Active,"2147 EAST SPRINGS DR
MADISON, WI 53704",2147,,EAST SPRINGS,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,110
45461-33184,Active,Walgreens #3393,2024/06/30 05:00:00+00,Active,"108 COTTAGE GROVE RD
MADISON, WI 53716",108,,COTTAGE GROVE,RD,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,MADISON,111
45498-33224,Active,Timberlake Village,2024/06/30 05:00:00+00,Active,"7425 TIMBER LAKE TRL
MADISON, WI 53719",7425,,TIMBER LAKE,TRL,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,112
45498-34319,Active,Timberlake Village,2024/06/30 05:00:00+00,Active,"7425 TIMBER LAKE TRL
MADISON, WI 53719",7425,,TIMBER LAKE,TRL,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,113
45809-33661,Active,Comfort Suites,2024/06/30 05:00:00+00,Active,"1253 JOHN Q HAMMONS DR
MADISON, WI 53717",1253,,JOHN Q HAMMONS,DR,,,,,,,,,2024/02/24 11:00:07+00,Hotel/Motel,MADISON,114
45809-33662,Active,Comfort Suites,2024/06/30 05:00:00+00,Active,"1253 JOHN Q HAMMONS DR
MADISON, WI 53717",1253,,JOHN Q HAMMONS,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,115
45809-33856,Active,Comfort Suites,2024/06/30 05:00:00+00,Active,"1253 JOHN Q HAMMONS DR
MADISON, WI 53717",1253,,JOHN Q HAMMONS,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,116
45809-34144,Active,Comfort Suites,2024/06/30 05:00:00+00,Active,"1253 JOHN Q HAMMONS DR
MADISON, WI 53717",1253,,JOHN Q HAMMONS,DR,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,117
46083-33975,Active,Harbour Town Apartments,2024/06/30 05:00:00+00,Active,"260 JUNCTION RD
MADISON, WI 53717",260,,JUNCTION,RD,,,,,,,,,2024/02/24 11:00:07+00,Swimming Pool,MADISON,118
